('the', 'DET')43627
('title', 'NOUN')60
('law', 'NOUN')212
('also', 'ADV')656
('outgoing', 'ADJ')5
('next', 'ADJ')177
('legislature', 'NOUN')23
('provide', 'VERB')143
('enabling', 'VERB')7
('funds', 'NOUN')60
('re-set', 'VERB')1
('effective', 'ADJ')84
('date', 'NOUN')52
('so', 'CONJ')295
('orderly', 'ADJ')14
('may', 'MODAL')794
('effected', 'VERB')8
('swipe', 'NOUN')1
('at', 'IN')3346
('state', 'NOUN')456
('welfare', 'NOUN')39
("department's", 'NOUN')5
('handling', 'NOUN')14
('federal', 'ADJ')170
('granted', 'VERB')38
('child', 'NOUN')125
('services', 'NOUN')99
('foster', 'ADJ')2
('homes', 'NOUN')36
('one', 'NUM')1716
('major', 'ADJ')134
('items', 'NOUN')57
('general', 'ADJ')228
('assistance', 'NOUN')59
('program', 'NOUN')215
('but', 'CONJ')2597
('has', 'VERB')1527
('seen', 'VERB')191
('fit', 'ADJ')6
('distribute', 'VERB')2
('through', 'IN')565
('all', 'DET')1681
('counties', 'NOUN')23
('with', 'IN')4408
('exception', 'NOUN')27
('receives', 'VERB')11
('none', 'PRON')67
('money', 'NOUN')149
('jurors', 'NOUN')4
('they', 'PRON')2273
('realize', 'VERB')38
('proportionate', 'ADJ')9
('distribution', 'NOUN')44
('might', 'MODAL')418
('disable', 'VERB')1
('our', 'DET')740
('less', 'ADV')145
('populous', 'ADJ')4
('nevertheless', 'ADV')47
('we', 'PRON')1606
('feel', 'VERB')117
('future', 'NOUN')81
('receive', 'VERB')37
('some', 'DET')1002
('portion', 'NOUN')47
('available', 'ADJ')164
('failure', 'NOUN')53
('do', 'VERB')789
('will', 'MODAL')1289
('continue', 'VERB')67
('place', 'VERB')47
('disproportionate', 'ADJ')2
('burden', 'NOUN')28
('taxpayers', 'NOUN')15
("ordinary's", 'NOUN')1
('under', 'IN')432
('fire', 'NOUN')110
('its', 'DET')1215
('appointment', 'NOUN')20
('appraisers', 'NOUN')1
('guardians', 'NOUN')3
('administrators', 'NOUN')3
('awarding', 'NOUN')1
('fees', 'NOUN')13
('compensation', 'NOUN')11
('wards', 'NOUN')3
('protected', 'VERB')26
('found', 'VERB')337
('incorporated', 'VERB')7
('into', 'IN')1077
('operating', 'VERB')48
('procedures', 'NOUN')33
('recommendations', 'NOUN')11
('previous', 'ADJ')48
('juries', 'NOUN')1
('bar', 'NOUN')38
('association', 'NOUN')85
('interim', 'NOUN')4
('citizens', 'NOUN')47
('actions', 'NOUN')49
('serve', 'VERB')70
('protect', 'VERB')23
('fact', 'NOUN')274
('effect', 'NOUN')111
("court's", 'NOUN')4
('from', 'IN')2698
('undue', 'ADJ')8
('costs', 'NOUN')141
('appointed', 'VERB')22
('elected', 'VERB')22
('servants', 'NOUN')13
('unmeritorious', 'ADJ')1
('criticisms', 'NOUN')7
('regarding', 'IN')21
('new', 'ADJ')932
('multi-million-dollar', 'ADJ')1
('airport', 'NOUN')14
('when', 'ADV')1384
('management', 'NOUN')60
('takes', 'VERB')50
('jan.', 'NOUN')12
('1', 'NUM')321
('that', 'PRON')1136
('eliminate', 'VERB')16
('political', 'ADJ')161
('influences', 'NOUN')6
('not', 'ADV')2849
('elaborate', 'VERB')4
('added', 'VERB')101
('there', 'PRON')1401
('periodic', 'ADJ')4
('surveillance', 'NOUN')4
('pricing', 'VERB')1
('concessionaires', 'NOUN')7
('purpose', 'NOUN')98
('keeping', 'VERB')40
('prices', 'NOUN')39
('reasonable', 'ADJ')48
('ask', 'VERB')81
('jail', 'NOUN')13
('deputies', 'NOUN')9
('matters', 'NOUN')35
(':', 'PERIOD')1076
('(', 'PERIOD')1425
(')', 'PERIOD')1426
('four', 'NUM')206
('additional', 'ADJ')76
('employed', 'VERB')31
('doctor', 'NOUN')56
('medical', 'ADJ')135
('intern', 'NOUN')1
('extern', 'NOUN')1
('night', 'NOUN')262
('weekend', 'NOUN')20
('duty', 'NOUN')37
('2', 'NUM')285
('work', 'VERB')105
('officials', 'NOUN')42
('pass', 'VERB')47
('legislation', 'NOUN')28
('permit', 'VERB')38
('establishment', 'NOUN')34
('fair', 'ADJ')38
('equitable', 'ADJ')9
('pension', 'NOUN')5
('plan', 'NOUN')83
('employes', 'NOUN')10
('praised', 'VERB')11
('operation', 'NOUN')75
('police', 'NOUN')94
('tax', 'NOUN')116
("commissioner's", 'NOUN')1
('office', 'NOUN')142
('bellwood', 'NOUN')1
('alpharetta', 'NOUN')1
('prison', 'NOUN')19
('farms', 'NOUN')6
('grady', 'NOUN')4
('hospital', 'NOUN')80
('health', 'NOUN')70
('mayor', 'NOUN')18
('william', 'NOUN')72
('b.', 'NOUN')43
('hartsfield', 'NOUN')5
('filed', 'VERB')18
('suit', 'NOUN')22
('divorce', 'NOUN')19
('his', 'DET')4131
('wife', 'NOUN')113
('pearl', 'NOUN')5
('williams', 'NOUN')21
('petition', 'NOUN')10
('mental', 'ADJ')27
('cruelty', 'NOUN')8
('couple', 'NOUN')71
('married', 'VERB')51
('aug.', 'NOUN')9
('1913', 'NUM')8
('son', 'NOUN')90
('berry', 'NOUN')6
('daughter', 'NOUN')46
('mrs.', 'NOUN')271
('j.', 'NOUN')59
('m.', 'NOUN')39
('cheshire', 'NOUN')1
('griffin', 'NOUN')4
('attorneys', 'NOUN')8
('amicable', 'ADJ')1
('property', 'NOUN')124
('settlement', 'NOUN')13
('agreed', 'VERB')49
('upon', 'ADV')30
('listed', 'VERB')31
("mayor's", 'NOUN')5
('occupation', 'NOUN')9
('attorney', 'NOUN')42
('age', 'NOUN')154
('71', 'NUM')8
("wife's", 'NOUN')11
('74', 'NUM')4
('birth', 'NOUN')31
('opelika', 'NOUN')1
('ala.', 'NOUN')5
('lived', 'VERB')83
('together', 'ADV')162
('man', 'NOUN')757
('more', 'ADJ')633
('than', 'IN')321
('year', 'NOUN')357
('home', 'NOUN')317
('637', 'NUM')1
('e.', 'NOUN')45
('pelham', 'NOUN')5
('rd.', 'NOUN')3
('aj', 'NOUN')87
('henry', 'NOUN')37
('l.', 'NOUN')31
('bowden', 'NOUN')2
('brief', 'ADJ')39
('interlude', 'NOUN')3
('since', 'IN')109
('1937', 'NUM')8
('career', 'NOUN')35
('goes', 'VERB')58
('back', 'ADV')421
('council', 'NOUN')71
('1923', 'NUM')5
('present', 'ADJ')161
('expires', 'VERB')1
('he', 'PRON')5748
('succeeded', 'VERB')17
('who', 'PRON')1281
('became', 'VERB')153
('candidate', 'NOUN')19
('sept.', 'NOUN')29
('13', 'NUM')24
('after', 'CONJ')209
('announced', 'VERB')53
('would', 'MODAL')1743
('run', 'VERB')91
('reelection', 'NOUN')2
('georgia', 'NOUN')33
('republicans', 'NOUN')17
('getting', 'VERB')88
('strong', 'ADJ')111
('encouragement', 'NOUN')8
('enter', 'VERB')44
('1962', 'NUM')28
("governor's", 'NOUN')10
('race', 'NOUN')73
('top', 'ADJ')44
('official', 'NOUN')13
('wednesday', 'NOUN')18
('robert', 'NOUN')39
('snodgrass', 'NOUN')2
('gop', 'NOUN')10
('chairman', 'NOUN')40
('meeting', 'NOUN')81
('held', 'VERB')159
('tuesday', 'NOUN')28
('blue', 'ADJ')80
('ridge', 'NOUN')13
('brought', 'VERB')167
('enthusiastic', 'ADJ')15
('responses', 'NOUN')22
('audience', 'NOUN')74
('party', 'NOUN')114
('james', 'NOUN')59
('w.', 'NOUN')46
('dorsey', 'NOUN')1
('enthusiasm', 'NOUN')22
('picking', 'VERB')10
('up', 'PART')1067
('rally', 'NOUN')4
('8', 'NUM')63
('savannah', 'NOUN')2
('newly', 'ADV')15
('texas', 'NOUN')50
('sen.', 'NOUN')20
('john', 'NOUN')161
('tower', 'NOUN')11
('featured', 'VERB')5
('speaker', 'NOUN')36
('warned', 'VERB')8
('entering', 'VERB')14
('governor', 'NOUN')47
('force', 'VERB')16
('petitions', 'NOUN')4
('out', 'PART')978
('voting', 'VERB')7
('precincts', 'NOUN')5
('obtain', 'VERB')25
('signatures', 'NOUN')5
('registered', 'VERB')14
('despite', 'IN')74
('warning', 'VERB')19
('unanimous', 'ADJ')5
('vote', 'NOUN')36
('according', 'IN')82
('attended', 'VERB')18
('crowd', 'NOUN')36
('asked', 'VERB')263
('whether', 'CONJ')185
('wanted', 'VERB')137
('wait', 'VERB')52
('make', 'VERB')503
('voted', 'VERB')20
('no', 'ADV')212
('--', 'PUNCT')2128
('were', 'VERB')2025
('dissents', 'NOUN')1
('largest', 'ADJ')29
('hurdle', 'NOUN')1
('face', 'VERB')31
('says', 'VERB')102
('before', 'CONJ')299
('making', 'VERB')145
('first', 'ADJ')650
('alternative', 'ADJ')5
('courses', 'NOUN')30
('must', 'MODAL')628
('taken', 'VERB')178
('five', 'NUM')170
('per', 'IN')221
('cent', 'NOUN')103
('each', 'DET')520
('sign', 'VERB')15
('requesting', 'VERB')5
('allowed', 'VERB')53
('names', 'NOUN')61
('candidates', 'NOUN')25
('ballot', 'NOUN')10
('hold', 'VERB')95
('unit', 'NOUN')82
('system', 'NOUN')324
('opposes', 'VERB')1
('platform', 'NOUN')69
('sam', 'NOUN')61
('caldwell', 'NOUN')2
('highway', 'NOUN')29
('public', 'ADJ')163
('relations', 'NOUN')56
('director', 'NOUN')59
('resigned', 'VERB')6
('lt.', 'NOUN')6
('gov.', 'NOUN')13
('garland', 'NOUN')5
("byrd's", 'NOUN')3
('campaign', 'NOUN')36
("caldwell's", 'NOUN')1
('resignation', 'NOUN')5
('expected', 'VERB')98
('time', 'NOUN')999
('rob', 'NOUN')17
('ledford', 'NOUN')1
('gainesville', 'NOUN')1
('assistant', 'NOUN')13
('three', 'NUM')367
('years', 'NOUN')556
('gubernatorial', 'ADJ')2
('starts', 'VERB')13
('become', 'VERB')212
('coordinator', 'NOUN')5
('byrd', 'NOUN')4
('wind', 'VERB')3
('1961', 'NUM')77
('session', 'NOUN')46
('monday', 'NOUN')48
('head', 'VERB')8
('where', 'ADV')600
('bond', 'NOUN')37
('approved', 'VERB')28
('shortly', 'ADV')19
('before', 'IN')238
('adjournment', 'NOUN')3
('afternoon', 'NOUN')61
('senate', 'NOUN')39
('approve', 'VERB')5
('study', 'NOUN')130
('allotted', 'VERB')7
('rural', 'ADJ')36
('urban', 'ADJ')19
('areas', 'NOUN')152
('determine', 'VERB')73
('what', 'DET')1172
('adjustments', 'NOUN')9
('made', 'VERB')722
('vandiver', 'NOUN')6
('traditional', 'ADJ')53
('visit', 'NOUN')42
('chambers', 'NOUN')7
('toward', 'IN')247
('likely', 'ADV')12
('mention', 'VERB')24
('$100', 'NOUN')10
('million', 'NUM')123
('issue', 'NOUN')68
('earlier', 'ADV')38
('priority', 'NOUN')13
('item', 'NOUN')38
('construction', 'NOUN')51
('bonds', 'NOUN')40
('meanwhile', 'ADV')21
('learned', 'VERB')62
('very', 'ADV')421
('near', 'ADV')11
('being', 'VERB')399
('ready', 'ADJ')95
('issue', 'VERB')7
('$30', 'NOUN')2
('worth', 'NOUN')20
('reconstruction', 'NOUN')8
('go', 'VERB')410
('courts', 'NOUN')32
('friendly', 'ADJ')48
('test', 'NOUN')42
('test', 'VERB')10
('validity', 'NOUN')7
('act', 'NOUN')102
('then', 'ADV')832
('sales', 'NOUN')39
('begin', 'VERB')54
('contracts', 'NOUN')11
('let', 'VERB')229
('repair', 'NOUN')6
('work', 'NOUN')363
('most', 'ADV')443
('heavily', 'ADV')42
('traveled', 'VERB')15
('highways', 'NOUN')10
('source', 'NOUN')63
('there', 'ADV')388
('$3', 'NOUN')3
('$4', 'NOUN')5
('roads', 'NOUN')46
('authority', 'NOUN')59
('road', 'NOUN')121
('revolving', 'VERB')4
('fund', 'NOUN')48
('apparently', 'ADV')84
('intends', 'VERB')5
('issued', 'VERB')25
('every', 'DET')324
('old', 'ADJ')411
('ones', 'NOUN')78
('paid', 'VERB')104
('off', 'PART')290
('authorities', 'NOUN')30
('opened', 'VERB')83
('1958', 'NUM')46
('battle', 'NOUN')41
('against', 'IN')416
('issuance', 'NOUN')3
('$50', 'NOUN')4
('marvin', 'NOUN')7
('told', 'VERB')233
('constitution', 'NOUN')31
('consulted', 'VERB')11
('yet', 'ADV')184
('about', 'IN')743
('plans', 'NOUN')55
('schley', 'NOUN')1
('rep.', 'NOUN')11
('d.', 'NOUN')36
('offer', 'VERB')45
('resolution', 'NOUN')26
('house', 'NOUN')403
('rescind', 'VERB')2
("body's", 'NOUN')1
('action', 'NOUN')180
('itself', 'PRON')214
('$10', 'NOUN')5
('day', 'NOUN')379
('increase', 'NOUN')83
('expense', 'NOUN')26
('allowances', 'NOUN')21
('sunday', 'NOUN')72
('research', 'NOUN')120
('done', 'VERB')189
('quickie', 'NOUN')2
('can', 'MODAL')1142
('repealed', 'VERB')2
('outright', 'ADV')3
('notice', 'NOUN')19
('first', 'ADV')208
('given', 'VERB')234
('reconsideration', 'NOUN')3
('sought', 'VERB')37
('while', 'CONJ')353
('emphasizing', 'VERB')4
('technical', 'ADJ')85
('details', 'NOUN')41
('fully', 'ADV')42
('worked', 'VERB')78
('seek', 'VERB')47
('set', 'VERB')207
('aside', 'ADV')50
('privilege', 'NOUN')16
('87-31', 'NUM')1
('similar', 'ADJ')94
('passed', 'VERB')83
('29-5', 'NUM')1
('as', 'IN')77
('word', 'NOUN')156
('offered', 'VERB')52
('pointed', 'VERB')44
('last', 'ADJ')399
('november', 'NOUN')40
('rejected', 'VERB')26
('constitutional', 'ADJ')19
('amendment', 'NOUN')6
('allow', 'VERB')46
('vote', 'VERB')11
('pay', 'NOUN')27
('raises', 'NOUN')3
('future', 'ADJ')56
('sessions', 'NOUN')13
('veteran', 'ADJ')5
('jackson', 'NOUN')23
('legislator', 'NOUN')7
('back', 'VERB')19
('aid', 'NOUN')70
('education', 'NOUN')93
('something', 'PRON')277
('consistently', 'ADV')11
('opposed', 'VERB')24
('past', 'NOUN')66
('mac', 'NOUN')1
('barber', 'NOUN')5
('commerce', 'NOUN')27
('asking', 'VERB')40
('endorse', 'VERB')4
('increased', 'VERB')86
('support', 'NOUN')84
('provided', 'VERB')84
('expended', 'VERB')8
('13th', 'ADJ')2
('members', 'NOUN')194
('congressional', 'ADJ')14
('delegation', 'NOUN')8
('washington', 'NOUN')118
('like', 'VERB')125
('see', 'VERB')492
('congressmen', 'NOUN')4
('specifically', 'ADV')24
('him', 'PRON')1577
('tossed', 'VERB')17
('hopper', 'NOUN')2
('formally', 'ADV')15
('read', 'VERB')104
('event', 'NOUN')48
('congress', 'NOUN')94
('does', 'VERB')310
('board', 'NOUN')121
('directed', 'VERB')38
('give', 'VERB')223
('teacher', 'NOUN')31
('colquitt', 'NOUN')2
('after', 'IN')416
('long', 'ADJ')325
('hot', 'ADJ')81
('controversy', 'NOUN')16
('miller', 'NOUN')14
('school', 'NOUN')259
('superintendent', 'NOUN')9
('policeman', 'NOUN')12
('put', 'VERB')279
('coolest', 'ADJ')4
('i', 'PRON')2974
('ever', 'ADV')218
('saw', 'VERB')209
('harry', 'NOUN')22
('davis', 'NOUN')7
('agriculture', 'NOUN')17
('defeated', 'VERB')5
('felix', 'NOUN')29
('bush', 'NOUN')8
('principal', 'NOUN')20
('democratic', 'ADJ')54
('1,119', 'NUM')1
('votes', 'NOUN')10
("saturday's", 'NOUN')3
('got', 'VERB')287
('402', 'NUM')1
('ordinary', 'NOUN')3
('carey', 'NOUN')5
('armed', 'VERB')39
('pistol', 'NOUN')21
('stood', 'VERB')140
('polls', 'NOUN')7
('insure', 'VERB')16
('order', 'NOUN')220
('calmest', 'ADJ')1
('tom', 'NOUN')50
('just', 'ADV')522
('like', 'CONJ')636
('church', 'NOUN')198
("didn't", 'VERB')256
('smell', 'VERB')7
('drop', 'NOUN')14
('liquor', 'NOUN')29
('bit', 'NOUN')49
('trouble', 'NOUN')88
('leading', 'VERB')35
('so', 'ADV')937
('quiet', 'ADJ')41
('marked', 'VERB')55
('anonymous', 'ADJ')15
('midnight', 'NOUN')16
('phone', 'NOUN')32
('calls', 'NOUN')11
('veiled', 'VERB')4
('threats', 'NOUN')10
('violence', 'NOUN')25
('former', 'ADJ')75
('george', 'NOUN')79
('p.', 'NOUN')32
('callan', 'NOUN')1
('shot', 'VERB')36
('himself', 'PRON')349
('death', 'NOUN')196
('march', 'NOUN')74
('18', 'NUM')34
('days', 'NOUN')222
('post', 'NOUN')47
('dispute', 'NOUN')6
('during', 'IN')332
('reportedly', 'ADV')5
('telephone', 'NOUN')40
('too', 'ADV')515
('subjected', 'VERB')10
('soon', 'ADV')114
('scheduled', 'VERB')28
('local', 'ADJ')133
('feared', 'VERB')7
('permit', 'NOUN')4
('carry', 'VERB')57
('gun', 'NOUN')67
('promised', 'VERB')28
('sheriff', 'NOUN')11
('tabb', 'NOUN')1
('good', 'ADJ')433
('promise', 'NOUN')14
('everything', 'PRON')112
('went', 'VERB')319
('real', 'ADV')10
('smooth', 'ADJ')15
("wasn't", 'VERB')103
('austin', 'NOUN')14
('approval', 'NOUN')30
('price', 'NOUN')69
("daniel's", 'NOUN')1
('abandoned', 'VERB')16
('seemed', 'VERB')224
('certain', 'ADJ')208
('thursday', 'NOUN')24
('adamant', 'ADJ')3
('protests', 'NOUN')4
('bankers', 'NOUN')10
('daniel', 'NOUN')9
('personally', 'ADV')24
('led', 'VERB')73
('fight', 'NOUN')28
('measure', 'NOUN')33
('watered', 'VERB')5
('down', 'PART')441
('considerably', 'ADV')37
('rejection', 'NOUN')7
('legislatures', 'NOUN')1
('hearing', 'NOUN')13
('revenue', 'NOUN')22
('taxation', 'NOUN')8
('rules', 'NOUN')47
('automatically', 'ADV')27
('subcommittee', 'NOUN')5
('week', 'NOUN')162
('questions', 'NOUN')94
('taunted', 'VERB')2
('appearing', 'VERB')12
('witnesses', 'NOUN')16
('left', 'VERB')201
('little', 'ADJ')430
('doubt', 'NOUN')61
('recommend', 'VERB')16
('passage', 'NOUN')23
('termed', 'VERB')13
('extremely', 'ADV')36
('conservative', 'ADJ')18
('estimate', 'NOUN')14
('produce', 'VERB')40
('17', 'NUM')23
('dollars', 'NOUN')55
('help', 'VERB')137
('erase', 'VERB')1
('anticipated', 'VERB')13
('deficit', 'NOUN')9
('63', 'NUM')4
('current', 'ADJ')46
('fiscal', 'ADJ')39
('31', 'NUM')21
('merely', 'ADV')86
('means', 'NOUN')121
('enforcing', 'VERB')5
('escheat', 'NOUN')2
('books', 'NOUN')54
('republic', 'NOUN')28
('permits', 'VERB')18
('over', 'PART')256
('bank', 'NOUN')42
('accounts', 'NOUN')19
('stocks', 'NOUN')7
('personal', 'ADJ')119
('persons', 'NOUN')65
('missing', 'VERB')21
('seven', 'NUM')65
('bill', 'NOUN')86
('drafted', 'VERB')3
('banks', 'NOUN')31
('insurance', 'NOUN')30
('firms', 'NOUN')37
('pipeline', 'NOUN')6
('companies', 'NOUN')54
('corporations', 'NOUN')18
('report', 'VERB')21
('treasurer', 'NOUN')4
('cannot', 'MODAL')169
('enforced', 'VERB')15
('now', 'ADV')804
('because', 'CONJ')466
('almost', 'ADV')293
('impossible', 'ADJ')53
('locate', 'VERB')9
('declared', 'VERB')43
('dewey', 'NOUN')1
('lawrence', 'NOUN')31
('tyler', 'NOUN')2
('lawyer', 'NOUN')27
('representing', 'VERB')22
('sounded', 'VERB')22
('opposition', 'NOUN')27
('keynote', 'NOUN')1
('violate', 'VERB')6
('their', 'DET')1636
('contractual', 'ADJ')7
('obligations', 'NOUN')15
('depositors', 'NOUN')1
('undermine', 'VERB')6
('confidence', 'NOUN')31
('customers', 'NOUN')24
('if', 'CONJ')1389
('you', 'PRON')1947
('destroy', 'VERB')35
('economy', 'NOUN')38
('circulation', 'NOUN')10
('millions', 'NOUN')34
('charles', 'NOUN')44
('hughes', 'NOUN')6
('sherman', 'NOUN')4
('sponsor', 'NOUN')11
('enact', 'VERB')4
('amount', 'VERB')18
('gift', 'NOUN')20
("taxpayers'", 'NOUN')2
('pockets', 'NOUN')11
('contention', 'NOUN')5
('denied', 'VERB')18
('several', 'ADJ')224
('including', 'IN')116
('scott', 'NOUN')7
('hudson', 'NOUN')10
('gaynor', 'NOUN')1
('jones', 'NOUN')24
('houston', 'NOUN')10
('brady', 'NOUN')1
('harlingen', 'NOUN')1
('howard', 'NOUN')10
('cox', 'NOUN')5
('argued', 'VERB')18
('probably', 'ADV')163
('unconstitutional', 'ADJ')2
('since', 'CONJ')256
('impair', 'VERB')4
('complained', 'VERB')12
('enough', 'ADJ')114
('introduced', 'VERB')38
('senators', 'NOUN')5
('unanimously', 'ADV')6
('parkhouse', 'NOUN')5
('dallas', 'NOUN')23
('authorizing', 'VERB')4
('schools', 'NOUN')82
('deaf', 'ADJ')10
('designed', 'VERB')75
('special', 'ADJ')138
('schooling', 'NOUN')2
('students', 'NOUN')85
('scholastic', 'ADJ')3
('reduced', 'VERB')54
('debate', 'NOUN')19
('authorize', 'VERB')3
('agency', 'NOUN')37
('establish', 'VERB')39
('county-wide', 'ADJ')2
('300,000', 'NUM')5
('population', 'NOUN')87
('require', 'VERB')49
('children', 'NOUN')170
('between', 'IN')459
('6', 'NUM')61
('attend', 'VERB')39
('permitting', 'VERB')6
('older', 'ADJ')62
('residential', 'ADJ')35
('here', 'ADV')467
('budget', 'NOUN')30
('harris', 'NOUN')22
('bexar', 'NOUN')1
('tarrant', 'NOUN')1
('el', 'NOUN')14
('paso', 'NOUN')10
('$451,500', 'NOUN')1
('savings', 'NOUN')20
('$157,460', 'NOUN')1
('yearly', 'ADV')2
("year's", 'NOUN')22
('capital', 'NOUN')64
('outlay', 'NOUN')1
('$88,000', 'NOUN')1
('absorbed', 'VERB')6
('tea', 'NOUN')12
('estimated', 'VERB')50
('182', 'NUM')1
('scholastics', 'NOUN')1
('saving', 'VERB')10
('coming', 'VERB')98
('live', 'VERB')90
('get', 'VERB')442
('hear', 'VERB')96
('horse', 'NOUN')65
('parimutuels', 'NOUN')1
('reps.', 'NOUN')2
('v.', 'NOUN')9
('red', 'NOUN')19
('joe', 'NOUN')23
('ratcliff', 'NOUN')3
('still', 'ADV')461
('expects', 'VERB')15
('tell', 'VERB')153
('folks', 'NOUN')13
('why', 'ADV')242
('thinks', 'VERB')12
("berry's", 'NOUN')1
("we're", 'PRON')35
("'", 'PERIOD')189
('pro', 'ADJ')2
('letters', 'NOUN')69
('con', 'ADJ')1
('betting', 'NOUN')1
('believe', 'VERB')115
('people', 'NOUN')501
('better', 'ADV')124
('informed', 'VERB')27
('question', 'NOUN')145
('most', 'ADJ')285
('oppose', 'VERB')8
("i'm", 'PRON')152
('willing', 'ADJ')43
('stake', 'VERB')1
('my', 'DET')737
('ex-gambler', 'NOUN')1
('san', 'NOUN')57
('antonio', 'NOUN')6
('advocacy', 'NOUN')3
('betting', 'VERB')4
('ponies', 'NOUN')6
('heard', 'VERB')153
('option', 'NOUN')3
('proposal', 'NOUN')23
('favorable', 'ADJ')21
('report', 'NOUN')56
('although', 'CONJ')195
('faces', 'VERB')8
('hard', 'ADJ')91
('sledding', 'NOUN')2
('later', 'ADV')191
('finally', 'ADV')118
('sent', 'VERB')88
('extending', 'VERB')16
('planning', 'VERB')29
('cities', 'NOUN')61
('quickly', 'ADV')55
('whipped', 'VERB')9
('meager', 'ADJ')6
('fare', 'NOUN')4
('bills', 'NOUN')37
('committees', 'NOUN')13
('passing', 'VERB')38
('calendar', 'NOUN')14
('validated', 'VERB')1
('acts', 'NOUN')13
('districts', 'NOUN')11
('another', 'DET')419
('enlarged', 'VERB')3
('beaumont', 'NOUN')1
('navigation', 'NOUN')4
('district', 'NOUN')82
('third', 'ADJ')132
('amended', 'VERB')9
('creation', 'NOUN')31
('lamar', 'NOUN')1
('previously', 'ADV')33
('adopted', 'VERB')31
('without', 'IN')369
('dissent', 'NOUN')4
('a.', 'NOUN')64
('r.', 'NOUN')32
('schwartz', 'NOUN')4
('galveston', 'NOUN')1
('mentally', 'ADV')10
('retarded', 'VERB')4
('gulf', 'NOUN')14
('coast', 'NOUN')36
